pol_number,gender,agecat,credit_score,area,traffic_index,veh_age,veh_body,veh_value,person_age,numclaims,claimcst0
29323463,F,4,750,3,124.5,2,HBACK,1.1,54,0,0
16732441,M,2,567,6,104.4166358,3,STNWG,2.079,37,1,604
68744228,M,4,378,4,111.4,3,HDTOP,2.354,59,4,1817
30875047,F,3,807,5,104.4166358,4,UTE,1.969,48,3,0
37049210,M,6,844,3,111,1,HBACK,1.969,76,0,5905
90859532,M,1,743,3,133.5,1,HBACK,2.09,27,2,679
58572612,M,5,647,6,156,3,HDTOP,2.915,69,1,61643
32679788,M,4,785,1,104.4166358,2,SEDAN,1.925,57,0,138
90845095,F,1,601,2,105.2,2,HBACK,1.43,23,1,0
97453004,F,3,672,3,145.5,2,STNWG,3.905,42,0,0
13843905,F,3,654,3,133.5,4,SEDAN,0.847,65,0,27030
35005918,M,2,619,3,147,3,HBACK,0.979,35,2,121
98385091,M,5,840,5,22.5,4,SEDAN,0.803,65,2,685
99135056,M,5,741,1,57.3,4,HBACK,0.451,66,0,188
30780507,F,3,811,2,140.8,1,STNWG,3.9589,43,0,402
78395567,M,6,751,3,136.5,4,HBACK,0.242,73,0,2739
75159402,F,4,328,1,86.8,4,HBACK,1.265,52,1,0
88324551,M,5,813,1,62.7,1,SEDAN,2.915,62,0,0
84538742,F,3,762,5,49.5,2,SEDAN,1.705,63,0,23295
96341459,M,6,841,4,155,4,SEDAN,0.484,80,0,3651
35209135,M,4,839,2,104.4166358,1,STNWG,3.531,60,2,102
38851104,M,1,719,1,87.1,1,TRUCK,2.9139,30,0,0
97289087,M,1,757,3,141,3,STNWG,2.728,29,1,0
58264138,F,4,664,3,104.4166358,2,SEDAN,1.771,61,0,0
80238106,M,6,759,1,61.9,4,HDTOP,1.045,91,0,0
54346585,M,4,774,1,46.5,3,HBACK,1.342,57,0,7618
53170392,F,6,846,1,67.7,2,SEDAN,2.024,77,0,7086
53124568,F,4,740,1,64.5,4,STNWG,0.506,60,1,0
18898186,F,4,770,1,82.4,2,STNWG,4.4,58,0,0
89196246,M,5,796,6,144,3,BUS,0,63,1,9025
41430497,M,3,667,4,131.3,1,STNWG,3.333,51,0,1981
18197837,M,3,656,3,141,4,STNWG,1.804,51,1,190
85253708,M,3,580,6,76,2,SEDAN,1.826,49,0,4182
77210696,M,3,772,3,142.5,2,STNWG,4.4,48,0,244
47370641,F,4,821,5,42,4,COUPE,0.495,54,0,0
56543451,F,4,647,4,81.1,3,STNWG,2.937,57,1,1081
39829405,F,3,348,1,76.1,2,SEDAN,1.749,43,1,6948
52918551,M,3,703,1,51.1,4,SEDAN,0.517,47,1,296
57752513,M,5,844,3,133.5,4,SEDAN,0.737,70,0,3220
19047298,F,1,347,3,117,3,HBACK,1.386,31,0,414
63320870,F,6,830,4,97.6,1,STNWG,3.245,79,2,4957
51895426,F,1,731,3,141,3,HBACK,0.803,28,0,2449
32394168,F,5,845,2,135.9,1,HBACK,1.936,71,0,4240
33583908,F,3,668,3,120,2,HBACK,1.65,43,1,0
93233684,F,3,631,3,147,1,HBACK,1.32,43,2,0
55780655,F,3,331,4,94.5,3,HBACK,0.748,51,1,570
80053395,M,3,788,3,104.4166358,2,HBACK,1.287,42,1,546
98173507,F,1,653,1,55.6,4,HBACK,0.605,31,0,0
73469624,F,3,678,1,71.4,2,STNWG,3.157,45,0,0
36596290,M,6,849,1,89.3,3,SEDAN,1.276,83,0,7847
93659873,M,1,661.3218455,1,106.7,2,UTE,3.135,30,1,0
32176678,F,2,467,3,132,4,SEDAN,0.528,33,2,0
25970449,M,5,728,1,83.1,2,STNWG,3.63,63,1,0
29099996,M,6,302,5,43.5,3,SEDAN,1.639,76,2,45817
65484723,M,6,739,3,132,4,HDTOP,1.705,76,1,0
77761140,M,2,673,5,45,2,STNWG,4.356,40,2,6898
86570599,M,5,799,3,75,2,PANVN,2.079,70,0,0
79360590,F,5,765,2,133.4,4,HBACK,0.407,63,0,0
70267032,F,4,622,4,137.9,4,STNWG,1.529,53,1,0
62650484,F,4,554,2,132.8,4,HBACK,1.133,57,2,353
83592005,F,2,770,1,81,3,SEDAN,1.419,41,0,258
59725469,F,3,748,1,85.3,1,SEDAN,2.563,43,0,2171
32697184,F,4,586,1,83.9,2,HBACK,1.727,53,0,0
79078711,F,5,732,5,54,3,SEDAN,1.089,70,0,0
54364519,F,1,600,3,141,1,STNWG,7.9189,22,0,0
89214523,M,3,777,2,104.4166358,3,SEDAN,1.496,47,0,132
99165243,M,2,660,1,62.5,3,UTE,1.573,38,0,0
81682346,M,3,738,1,83.9,1,STNWG,7.161,51,0,0
94611933,M,6,494,3,136.5,3,STNWG,2.552,88,1,452
35550456,F,3,791,3,148.5,4,STNWG,1.111,47,0,0
79523665,M,6,736,5,85.5,2,UTE,3.927,73,0,0
27104584,M,3,819,1,51,4,STNWG,1.342,68,1,4095
48507344,M,2,641,3,148.5,4,STNWG,1.595,39,0,0
57866149,F,4,589,6,148,2,TRUCK,2.31,55,2,2759
11415633,F,4,745,2,90.1,3,SEDAN,1.694,55,1,0
70327794,F,2,563,4,63.2,3,STNWG,2.068,36,0,3081
11105334,F,4,571,1,81.3,2,SEDAN,2.167,54,2,0
65559229,F,4,413,3,138,3,SEDAN,1.067,60,1,0
85199557,F,3,608,3,142.5,3,HBACK,0.858,45,2,0
41406469,F,2,664,3,104.4166358,3,SEDAN,1.419,37,0,1190
43949798,F,5,818,6,80,1,SEDAN,2.211,69,1,232
92967674,F,6,820,3,109.5,4,STNWG,1.111,75,0,2305
82086393,F,4,790,3,142.5,3,HBACK,0.968,52,0,19046
46709328,F,1,545,1,71,1,SEDAN,1.694,27,2,16632
14929883,M,3,762,2,121.7,3,STNWG,2.354,48,4,935
35646519,M,2,540,1,104.4166358,3,HBACK,0.99,40,0,443
74652011,F,5,658,2,144.3,4,HBACK,0.594,71,2,0
16000176,F,3,789,3,99,1,SEDAN,1.98,46,0,1002
73909866,F,2,596,1,85.9,2,STNWG,2.167,38,0,0
72298478,F,3,381,6,116,2,STNWG,4.004,32,1,0
92648877,F,4,652,4,71.1,2,STNWG,4.092,53,1,0
15848848,M,2,532,3,87,2,STNWG,3.729,33,3,2950
40278217,M,3,699,3,115.5,2,HBACK,1.628,43,2,0
63561688,M,2,761,5,37.5,3,HBACK,2.156,41,3,0
10929818,F,2,632,5,108,3,UTE,1.529,36,0,0
77870383,M,5,721,3,142.5,2,UTE,2.86715,70,1,544
78917838,M,2,686,2,130.7,3,SEDAN,1.573,36,2,704
10171390,F,5,738,1,53.1,2,HBACK,1.155,62,0,0
72663415,F,3,697,2,156.5,2,SEDAN,1.87,47,0,0
44383766,M,6,420,2,123.9,4,HBACK,0.803,92,2,6769
81926793,F,3,763,3,147,2,HBACK,2.035,48,1,6602
20721973,F,3,753,5,61.5,4,STNWG,1.177,49,0,0
54181021,M,6,401,2,112.6,2,SEDAN,3.707,82,1,1164
70304625,M,1,669,3,139.5,3,UTE,2.398,26,3,257
19963804,F,2,658,1,72.2,2,HBACK,3.927,40,2,0
38394897,F,3,631,2,127.6,3,STNWG,1.21,46,2,402
10448558,M,5,707,2,133.4,2,HBACK,1.43,67,3,813
37603607,F,3,828,1,79.5,2,SEDAN,2.101,41,0,0
34005115,F,3,816,1,58.3,2,SEDAN,1.606,57,0,0
31658603,F,1,487,3,145.5,2,HBACK,1.144,22,2,0
48138156,M,5,833,2,135.2,3,HBACK,2.068,71,2,0
54068287,M,2,661.3218455,1,62.8,1,COUPE,5.984,33,1,54992
27459433,M,2,661.3218455,1,65.4,2,SEDAN,1.661,39,0,1722
51348377,F,5,798,3,139.5,3,HDTOP,2.277,69,3,3043
55612617,F,2,655,3,133.5,3,SEDAN,1.925,35,0,0
13268542,F,2,664,4,65.4,3,UTE,2.904,41,1,7270
48194585,F,2,757,3,148.5,4,SEDAN,1.056,38,0,0
59863046,F,2,661.3218455,1,117.3,1,STNWG,4.488,35,0,0
66989511,F,1,690,4,120.5,3,HBACK,1.012,25,0,0
69882254,M,2,643,6,126,3,STNWG,2.651,36,1,407
88382985,M,1,632,2,103.4,1,UTE,3.487,28,1,282
55393346,M,2,661.3218455,1,73.8,1,STNWG,3.025,41,0,0
85514313,F,3,605,1,99.8,1,SEDAN,2.024,48,0,0
94342584,F,3,591,4,111.3,3,HBACK,0.737,49,0,6250
78176156,M,6,363,3,104.4166358,3,HBACK,1.1,83,2,2739
11353272,M,5,764,1,109.2,4,UTE,0.682,66,2,6779
59614362,M,3,800,5,13.5,3,UTE,2.53,51,0,1579
28239650,F,6,845,1,43.2,2,HBACK,1.573,86,0,2940
20523110,M,3,634,5,15,4,HBACK,0.847,74,2,8485
80428995,M,3,473,5,24,3,UTE,1.738,43,2,13274
20015363,F,6,824,4,100.6,4,SEDAN,0.385,90,2,2520
44631409,F,5,731,3,136.5,2,HBACK,1.21,66,0,0
74064789,F,3,765,3,135,3,SEDAN,1.463,64,0,0
49417450,M,5,803,1,86.3,1,SEDAN,3.058,68,3,0
16424619,M,4,517,3,144,4,SEDAN,0.385,58,2,227
72786390,F,5,817,3,148.5,3,SEDAN,1.276,65,1,0
86552604,F,5,798,5,46.5,4,TRUCK,1.441,63,0,0
28941629,M,5,516,2,128.3,4,HBACK,0.484,69,0,4674
68697160,F,5,804,4,84,1,SEDAN,2.255,71,0,0
62677627,F,3,806,4,101.3,2,SEDAN,1.617,75,0,0
15799774,M,4,722,2,126.6,3,HBACK,0.913,53,4,269
63810777,M,5,846,1,77.1,3,TRUCK,0.825,66,0,0
39204707,M,6,775,5,19.5,2,HBACK,1.155,-3,2,0
33181980,F,2,621,1,60,3,HBACK,2.761,41,0,1605
55082550,M,3,496,1,91.8,1,HBACK,2.046,47,2,3212
27273679,F,5,529,3,130.5,4,MIBUS,1.353,65,1,4006
96313099,M,1,344,3,93,1,SEDAN,18.359,24,1,0
89246286,F,4,319,2,90.1,3,STNWG,1.749,52,2,684
73771603,F,5,544,1,88.7,2,SEDAN,1.496,69,1,0
20625440,F,3,505,5,28.5,1,STNWG,5.203,47,0,2998
94586276,M,2,751,3,142.5,1,HBACK,1.573,39,0,164
81872546,M,3,661.3218455,5,34.5,4,HDTOP,1.441,49,1,6732
95191686,F,5,825,3,144,2,HBACK,1.914,70,0,2192
35918893,F,3,694,2,131.5,3,SEDAN,0.979,45,0,0
82706356,M,2,596,4,74.7,4,PANVN,0.605,38,5,0
42533443,M,4,825,1,54,3,SEDAN,1.133,58,2,149
22450805,F,3,456,2,110.1,3,SEDAN,4.708,58,0,0
47824530,M,2,552,3,112.5,3,STNWG,2.552,35,1,0
40200256,F,2,820,2,145.5,1,HBACK,1.496,40,0,7455
61817933,F,4,798,1,61.7,4,SEDAN,2.178,52,0,0
84125015,F,4,537,5,33,1,HBACK,1.77573,59,0,0
57019248,F,3,521,3,141,4,HBACK,0.561,42,1,0
74817701,M,3,801,2,134.2,3,MIBUS,2.816,51,2,4744
73731136,M,3,494,3,130.5,1,HBACK,1.441,63,2,30464
23973760,F,3,616,2,135.9,4,STNWG,0.715,51,1,402
24098660,M,5,652,3,127.5,3,TRUCK,2.365,64,2,3292
64879452,M,3,574,4,126.4,3,UTE,3.509,51,1,0
58284487,M,2,494,1,82.7,1,HBACK,1.507,35,2,5197
37867263,F,3,424,5,114,1,HBACK,1.606,44,1,0
67194847,F,4,536,5,48,3,HBACK,0.88,59,2,0
50210352,F,4,684,4,74,1,SEDAN,2.585,53,0,0
31917752,M,3,757,3,120,2,HBACK,2.937,51,2,0
39740515,F,5,616,6,124,3,STNWG,2.717,72,0,0
22422332,F,1,661.3218455,1,107.2,1,HBACK,1.551,29,0,0
79791070,M,5,805,3,78,2,SEDAN,2.101,71,3,1104
43512392,M,2,714,5,24,3,STNWG,2.266,33,0,2463
24324374,F,4,686,3,148.5,3,HBACK,1.133,54,0,0
98513412,F,2,846,1,88.3,1,SEDAN,3.575,34,0,0
10568954,M,3,842,5,51,3,STNWG,3.498,61,0,0
32360741,F,2,804,3,135,4,SEDAN,0.55,35,0,0
75580474,M,2,555,6,84,2,STNWG,4.246,41,3,22588
99634626,M,3,705,1,86.5,4,UTE,1.98,51,0,0
38536613,F,1,485,4,98.9,1,HBACK,1.782,22,2,1056
67421242,M,3,661.3218455,1,77.9,1,STNWG,6.193,29,0,0
18359922,F,4,611,3,96,3,HBACK,1.375,62,0,0
25724892,M,2,661.3218455,2,126.1,4,TRUCK,0.902,40,0,0
34194368,F,2,799,1,71.9,4,SEDAN,0.759,37,0,865
18313450,M,3,530,3,135,3,SEDAN,1.419,43,2,3357
94070006,F,1,428,1,53.2,1,STNWG,5.7596,24,2,0
48224116,F,4,802,5,37.5,1,SEDAN,2.629,58,0,0
24451054,M,3,747,3,144,2,HBACK,1.716,49,1,0
98686915,F,3,677,3,106.5,3,SEDAN,0.913,46,0,0
79411814,M,3,359,2,127.9,3,SEDAN,1.705,91,0,0
60806916,F,2,661.3218455,2,122,3,SEDAN,3.432,35,0,0
70076220,F,2,560,2,116.5,1,SEDAN,1.925,34,2,3353
77107689,F,4,589,4,74.5,2,HBACK,1.518,60,1,0
99404606,F,4,770,3,104.4166358,2,HBACK,1.573,60,0,0
63804868,M,4,569,3,93,3,HBACK,1.045,55,2,0
33714793,F,5,784,3,99,2,HBACK,1.441,62,0,0
14816803,M,2,518,2,104.4166358,1,HBACK,1.595,35,0,1604
29483334,F,6,556,2,104.4166358,3,HBACK,0.781,83,2,13627
80913949,F,4,541,3,142.5,2,HBACK,2.035,59,2,1474
13122398,M,1,661.3218455,2,104.4166358,4,SEDAN,0.814,30,2,0
92325500,F,6,707,3,120,3,SEDAN,1.617,74,0,0
38645491,M,6,704,2,123.3,2,SEDAN,1.991,72,0,2596
62878341,F,2,628,1,76.5,3,SEDAN,2.013,39,1,2171
80266095,M,3,601,2,72.1,2,STNWG,3.41,54,2,4125
34661665,M,1,664,5,22.5,4,UTE,1.969,26,1,0
44227313,M,2,648,1,84.6,4,UTE,1.144,39,2,334
55754919,F,3,805,4,90.5,3,HDTOP,1.694,63,1,3407
76942868,M,5,788,2,123.1,3,SEDAN,1.661,66,2,3025
84950915,M,6,656,3,129,2,SEDAN,1.705,86,0,4225
92958954,F,5,801,4,50.8,1,STNWG,5.214,70,0,0
39374834,M,4,763,3,142.5,4,SEDAN,0.759,57,4,670
11132347,F,2,826,3,139.5,2,STNWG,2.409,33,0,199
81071511,M,2,601,4,82.5,2,STNWG,1.771,38,2,10780
40669357,F,2,723,2,158.7,3,HBACK,0.968,40,0,7455
85954845,F,3,326,1,104.4166358,2,SEDAN,1.606,30,0,0
78232870,F,2,597,3,76.5,2,HBACK,1.386,33,1,568
26810315,F,2,407,2,93.6,4,STNWG,2.145,41,0,402
25940777,F,3,818,4,73.1,2,STNWG,2.937,43,0,0
97915114,F,4,723,3,147,1,HBACK,1.628,57,0,0
64929252,F,5,839,3,109.5,3,HBACK,1.463,71,1,234
12280684,F,1,706,6,126,4,HBACK,0.396,31,2,36271
60302581,F,3,599,3,129,3,SEDAN,1.661,44,1,1326
53821655,F,3,772,4,129.6,1,TRUCK,4.125,44,2,1674
64919069,F,1,531,6,140,1,HBACK,1.4839,31,2,1003
28660202,M,6,442,4,81.6,4,PANVN,0.33,83,2,2752
92386264,M,5,805,6,88,4,STNWG,1.441,65,1,114
92016100,M,6,603,1,81.9,4,STNWG,1.397,87,2,0
19092557,M,3,661.3218455,4,68.1,1,STNWG,4.015,46,0,2869
98173698,F,4,404,4,169.4,4,HBACK,0.429,53,1,412
21108990,M,4,634,4,63.1,3,STNWG,2.761,58,1,766
66172197,F,2,771,3,138,2,SEDAN,1.793,39,2,0
68089108,M,5,785,2,130.2,4,HBACK,0.748,64,0,0
75657253,F,6,811,4,126.8,1,SEDAN,2.079,74,0,0
51892048,M,5,530,2,120.2,4,HBACK,0.902,70,1,0
40193084,F,5,736,1,49,3,HBACK,0.836,62,0,0
21786886,F,5,784,5,49.5,2,HBACK,1.342,65,1,2374
97989041,F,5,769,2,114.8,4,HBACK,0.902,68,1,14927
79007154,F,2,661.3218455,2,115.8,4,HBACK,0.605,40,0,0
48204500,F,3,436,1,91,1,SEDAN,2.519,50,1,6948
63827188,F,5,765,4,133.4,2,STNWG,7.084,70,0,0
70693806,F,4,682,1,45.7,2,SEDAN,2.277,62,0,0
80881035,F,6,818,4,127.7,3,HBACK,0.869,73,1,1262
84366296,F,2,513,4,99,3,STNWG,1.738,37,0,895
58940969,F,5,838,3,145.5,3,SEDAN,0.869,66,0,0
79788941,F,5,730,2,114.9,4,UTE,1.221,64,0,0
49131626,M,3,621,2,125.6,3,SEDAN,1.166,46,1,4099
26839896,M,2,653,3,148.5,2,SEDAN,2.321,36,2,0
13768968,F,3,764,5,63,4,SEDAN,0.77,43,0,10397
76122078,M,2,344,2,104.4166358,4,STNWG,2.002,37,3,1594
38942394,M,6,746,5,39,3,SEDAN,1.045,72,0,4490
76689872,M,1,520,3,145.5,2,HBACK,1.826,26,1,934
72562185,F,2,666,3,127.5,4,STNWG,1.111,40,1,0
43051425,M,4,798,1,104.4166358,4,HDTOP,1.166,60,0,0
69981406,F,4,731,3,144,3,HBACK,2.046,62,0,0
62458533,M,4,748,3,105,4,SEDAN,0.605,57,1,134
26104725,F,4,769,2,105.1,1,HBACK,1.749,54,0,2033
96846312,F,5,720,6,132,4,HBACK,0.748,69,1,0
98803961,F,2,447,2,98.7,4,SEDAN,1.21,36,3,530
85159928,M,2,699,1,84.7,2,UTE,3.685,35,0,0
58355135,F,3,362,5,15,1,STNWG,4.741,49,1,0
42477313,M,4,683,1,92.4,4,HBACK,0.473,59,0,0
15762880,F,4,563,1,89,2,HBACK,1.386,60,0,0
67038698,F,2,360,1,83.9,2,STNWG,3.256,41,2,0
73576553,F,4,637,1,74.2,1,HBACK,2.343,55,0,0
62225212,M,3,433,1,69.2,3,SEDAN,1.243,42,1,0
31795991,F,4,693,1,120.3,4,HBACK,0.99,55,0,0
75393455,M,2,585,6,104.4166358,4,STNWG,2.123,37,4,6338
92882082,M,3,650,1,87.6,4,SEDAN,0.407,36,0,1968
54829324,F,2,750,1,105.3,3,SEDAN,1.023,35,0,0
41154120,F,2,611,3,88.5,4,SEDAN,0.561,37,0,1190
56079663,M,4,760,1,77.4,2,TRUCK,3.817,61,0,0
44601507,F,2,648,1,99,2,STNWG,2.97,37,0,0
46733776,M,2,551,1,77,1,RDSTR,4.037,34,2,5696
80494317,M,1,556,3,133.5,3,STNWG,2.651,32,2,4641
90568247,F,2,764,3,100.5,3,HBACK,0.858,39,0,0
